transaction_id,date_key,customer_key,channel_key,amount,status,processing_time
T2026021800000,20260218,485,2,603.58,success,1.28
T2026021800001,20260218,295,3,218.98,failed,1.86
T2026021800002,20260218,220,1,281.14,success,1.46
T2026021800003,20260218,408,2,383.02,success,0.56
T2026021800004,20260218,119,3,417.85,success,4.93
T2026021800005,20260218,705,2,152.69,success,1.77
T2026021800006,20260218,629,2,236.19,success,3.21
T2026021800007,20260218,493,3,301.78,success,0.52
T2026021800008,20260218,119,4,490.11,success,2.08
T2026021800009,20260218,678,2,775.74,success,0.54
T2026021800010,20260218,527,4,786.84,success,4.86
T2026021800011,20260218,63,3,396.64,success,0.79
T2026021800012,20260218,148,4,253.51,success,3.15
T2026021800013,20260218,630,1,623.9,success,1.15
T2026021800014,20260218,294,2,645.63,success,3.73
T2026021800015,20260218,337,2,116.72,success,1.89
T2026021800016,20260218,98,2,811.68,success,3.89
T2026021800017,20260218,811,4,155.76,success,2.95
T2026021800018,20260218,385,3,564.42,success,2.96
T2026021800019,20260218,938,1,353.32,success,2.58
T2026021800020,20260218,78,2,408.46,success,3.91
T2026021800021,20260218,20,4,246.16,success,2.18
T2026021800022,20260218,208,3,43.35,success,2.79
T2026021800023,20260218,206,3,816.68,success,1.11
T2026021800024,20260218,635,3,364.02,success,4.5
T2026021800025,20260218,245,4,306.8,success,1.42
T2026021800026,20260218,657,2,18.47,success,4.37
T2026021800027,20260218,563,1,948.22,success,4.96
T2026021800028,20260218,246,4,698.84,success,2.04
T2026021800029,20260218,782,2,849.91,success,4.78
T2026021800030,20260218,136,3,444.25,success,1.52
T2026021800031,20260218,421,3,289.92,success,3.7
T2026021800032,20260218,700,3,338.83,success,3.55
T2026021800033,20260218,434,4,63.62,success,4.7
T2026021800034,20260218,492,2,623.23,success,0.78
T2026021800035,20260218,837,3,202.23,success,1.43
T2026021800036,20260218,406,1,968.76,success,3.86
T2026021800037,20260218,521,2,309.85,success,3.13
T2026021800038,20260218,814,3,975.3,success,3.98
T2026021800039,20260218,190,4,582.12,success,1.42
T2026021800040,20260218,328,2,804.29,success,4.35
T2026021800041,20260218,540,3,489.15,failed,2.99
T2026021800042,20260218,102,2,255.03,success,3.13
T2026021800043,20260218,569,1,21.96,success,2.23
T2026021800044,20260218,892,2,317.29,success,1.71
T2026021800045,20260218,848,1,851.71,success,1.69
T2026021800046,20260218,968,4,495.65,success,3.87
T2026021800047,20260218,775,2,885.33,success,1.2
T2026021800048,20260218,89,3,381.26,success,3.67
T2026021800049,20260218,171,2,715.26,success,3.75
T2026021800050,20260218,475,2,846.13,success,1.06
T2026021800051,20260218,499,4,507.4,success,2.91
T2026021800052,20260218,124,3,384.94,success,2.24
T2026021800053,20260218,835,1,800.11,success,4.15
T2026021800054,20260218,792,3,913.34,success,2.36
T2026021800055,20260218,312,1,718.84,success,1.54
T2026021800056,20260218,282,3,36.41,success,4.51
T2026021800057,20260218,532,2,648.71,success,1.43
T2026021800058,20260218,258,2,459.5,success,0.78
T2026021800059,20260218,174,2,780.55,success,1.85
T2026021800060,20260218,559,1,484.78,success,1.75
T2026021800061,20260218,889,3,443.79,success,2.96
T2026021800062,20260218,182,4,163.36,success,4.22
T2026021800063,20260218,151,1,923.16,success,4.98
T2026021800064,20260218,853,1,556.77,success,2.27
T2026021800065,20260218,75,2,878.16,failed,0.86
T2026021800066,20260218,763,2,654.86,success,1.65
T2026021800067,20260218,715,4,814.86,failed,3.62
T2026021800068,20260218,35,4,677.33,success,0.76
T2026021800069,20260218,590,3,85.69,success,2.63
T2026021800070,20260218,101,4,860.71,success,3.17
T2026021800071,20260218,686,1,716.94,success,3.95
T2026021800072,20260218,793,4,740.78,success,4.52
T2026021800073,20260218,966,4,534.7,success,2.81
T2026021800074,20260218,792,2,620.73,success,4.52
T2026021800075,20260218,773,4,397.97,success,1.96
T2026021800076,20260218,38,1,396.73,success,1.41
T2026021800077,20260218,199,4,26.96,success,2.87
T2026021800078,20260218,57,2,277.42,success,3.29
