transaction_id,date_key,customer_key,channel_key,city_key,amount,status,processing_time
T2026040900000,20260409,79,4,4,311.29,success,3.58
T2026040900001,20260409,85,3,3,418.17,success,1.76
T2026040900002,20260409,790,4,4,332.97,success,3.73
T2026040900003,20260409,35,3,4,765.69,success,0.67
T2026040900004,20260409,314,3,1,687.36,success,4.2
T2026040900005,20260409,120,3,2,440.51,success,1.34
T2026040900006,20260409,699,3,1,183.05,success,2.31
T2026040900007,20260409,713,4,2,241.86,success,1.04
T2026040900008,20260409,891,2,3,669.22,success,2.38
T2026040900009,20260409,869,2,4,978.68,success,1.29
T2026040900010,20260409,163,2,1,446.32,success,4.06
T2026040900011,20260409,576,4,4,199.4,success,1.92
T2026040900012,20260409,900,4,3,699.33,success,1.2
T2026040900013,20260409,251,2,3,827.66,success,1.82
T2026040900014,20260409,148,1,4,493.47,success,1.07
T2026040900015,20260409,85,2,3,894.79,success,1.17
T2026040900016,20260409,165,1,4,772.22,success,4.09
T2026040900017,20260409,161,4,2,979.24,success,4.38
T2026040900018,20260409,36,3,3,784.46,success,3.74
T2026040900019,20260409,510,3,4,598.55,success,2.53
T2026040900020,20260409,594,1,4,332.16,success,2.8
T2026040900021,20260409,928,3,3,508.97,success,1.1
T2026040900022,20260409,241,1,2,434.26,success,1.63
T2026040900023,20260409,32,2,3,480.57,failed,1.44
T2026040900024,20260409,924,2,2,497.22,failed,2.25
T2026040900025,20260409,417,2,1,728.12,success,3.55
T2026040900026,20260409,983,4,1,776.45,success,4.65
T2026040900027,20260409,632,2,4,770.62,success,1.5
T2026040900028,20260409,810,4,1,379.44,success,0.78
T2026040900029,20260409,949,2,2,471.75,success,0.81
T2026040900030,20260409,567,2,4,388.29,success,4.62
T2026040900031,20260409,502,2,2,845.44,success,1.36
T2026040900032,20260409,246,2,3,348.28,success,1.92
T2026040900033,20260409,214,4,2,412.27,success,2.34
T2026040900034,20260409,927,1,2,725.39,success,4.52
T2026040900035,20260409,640,2,3,549.34,success,4.38
T2026040900036,20260409,790,4,4,991.5,success,2.8
T2026040900037,20260409,198,1,2,397.02,success,2.91
T2026040900038,20260409,299,2,3,689.81,success,1.34
T2026040900039,20260409,511,3,3,279.31,success,2.86
T2026040900040,20260409,134,1,4,470.75,success,3.77
T2026040900041,20260409,931,4,4,325.36,failed,3.41
T2026040900042,20260409,712,4,2,232.36,success,3.01
T2026040900043,20260409,178,2,4,108.85,success,1.19
T2026040900044,20260409,597,1,1,861.03,success,4.66
T2026040900045,20260409,404,4,3,463.81,success,1.85
T2026040900046,20260409,780,4,2,28.29,success,1.54
T2026040900047,20260409,539,2,2,734.81,success,0.7
T2026040900048,20260409,848,4,3,982.68,failed,2.32
T2026040900049,20260409,117,4,2,296.99,success,0.71
T2026040900050,20260409,555,3,4,415.92,success,3.37
T2026040900051,20260409,139,4,1,701.41,success,1.77
T2026040900052,20260409,190,3,3,96.16,success,3.39
T2026040900053,20260409,800,3,4,952.46,success,1.62
T2026040900054,20260409,685,3,2,668.29,success,3.14
T2026040900055,20260409,17,3,2,400.53,success,1.09
T2026040900056,20260409,913,1,3,745.26,success,1.05
T2026040900057,20260409,282,3,4,47.93,success,1.52
T2026040900058,20260409,352,1,3,372.47,success,2.09
T2026040900059,20260409,814,1,2,794.68,success,0.68
T2026040900060,20260409,455,4,4,940.8,success,3.54
T2026040900061,20260409,388,4,2,735.3,success,0.68
T2026040900062,20260409,403,1,4,62.07,success,4.69
T2026040900063,20260409,675,2,2,224.94,success,2.8
T2026040900064,20260409,647,2,4,183.88,failed,3.75
T2026040900065,20260409,697,4,1,851.79,success,3.63
T2026040900066,20260409,663,3,3,227.14,success,1.46
T2026040900067,20260409,424,1,2,323.62,failed,2.24
T2026040900068,20260409,222,2,2,318.27,success,1.86
T2026040900069,20260409,797,1,3,599.48,success,3.51
T2026040900070,20260409,829,2,4,616.68,failed,0.74
T2026040900071,20260409,725,2,3,22.0,success,2.69
T2026040900072,20260409,686,3,3,717.22,failed,1.37
T2026040900073,20260409,263,2,1,298.06,success,3.3
T2026040900074,20260409,503,1,1,720.82,success,3.57
T2026040900075,20260409,86,3,1,991.24,success,2.0
T2026040900076,20260409,162,3,3,560.12,failed,0.72
T2026040900077,20260409,52,4,3,234.72,success,1.08
T2026040900078,20260409,703,4,2,200.8,failed,4.98
T2026040900079,20260409,421,2,1,363.23,success,4.2
T2026040900080,20260409,103,3,4,378.62,success,1.7
T2026040900081,20260409,822,4,1,440.73,failed,2.65
T2026040900082,20260409,622,2,4,530.26,success,1.15
T2026040900083,20260409,721,3,2,433.15,success,3.8
T2026040900084,20260409,535,3,2,742.6,failed,3.32
T2026040900085,20260409,355,1,3,27.38,success,2.05
T2026040900086,20260409,946,2,3,463.42,success,4.52
T2026040900087,20260409,206,4,2,299.77,success,1.02
T2026040900088,20260409,253,4,4,851.52,success,3.28
T2026040900089,20260409,905,1,2,711.7,success,2.36
T2026040900090,20260409,28,1,2,451.19,success,4.35
T2026040900091,20260409,898,4,4,449.35,success,3.95
T2026040900092,20260409,117,1,2,526.1,success,3.69
T2026040900093,20260409,287,3,1,358.44,success,1.93
T2026040900094,20260409,428,1,3,181.75,success,2.71
T2026040900095,20260409,26,2,2,116.06,success,3.66
T2026040900096,20260409,406,3,2,286.31,success,3.73
